time,value
2019-08-30 20:02:18.498,7851.3213
2019-08-30 20:02:30.015,7850.373
2019-08-30 20:02:30.018,7850.373
2019-08-30 20:02:41.528,7852.269
2019-08-30 20:02:41.531,7852.269
2019-08-30 20:02:53.047,7849.425
2019-08-30 20:02:53.050,7849.425
2019-08-30 20:03:04.562,7850.373
2019-08-30 20:03:16.083,7851.322
2019-08-30 20:03:27.597,7850.3735
2019-08-30 20:03:39.103,7851.322
2019-08-30 20:03:39.106,7851.322
2019-08-30 20:03:50.620,7850.3735
2019-08-30 20:04:02.139,7849.426
2019-08-30 20:04:13.654,7851.322
2019-08-30 20:04:36.685,7848.4775
2019-08-30 20:04:48.201,7849.426
2019-08-30 20:04:59.728,7851.3223
2019-08-30 20:05:22.761,7850.3745
2019-08-30 20:05:34.273,7851.3228
2019-08-30 20:05:45.780,7849.427
2019-08-30 20:05:57.296,7848.4785
2019-08-30 20:06:08.812,7851.323
2019-08-30 20:06:20.324,7850.375
2019-08-30 20:06:20.327,7850.375
2019-08-30 20:06:31.846,7849.427
2019-08-30 20:06:43.366,7849.427
2019-08-30 20:06:54.888,7850.375
2019-08-30 20:07:06.397,7850.376
2019-08-30 20:07:17.913,7849.427
2019-08-30 20:07:17.916,7849.427
2019-08-30 20:07:29.430,7848.4785
2019-08-30 20:07:40.947,7849.4277
2019-08-30 20:08:15.513,7847.5312
2019-08-30 20:08:27.036,7848.4795
2019-08-30 20:08:50.074,7850.376
2019-08-30 20:09:01.599,7847.5312
2019-08-30 20:09:13.117,7850.376
2019-08-30 20:09:24.643,7848.4795
2019-08-30 20:09:36.165,7848.4795
2019-08-30 20:09:47.683,7848.48
2019-08-30 20:09:59.207,7849.4287
2019-08-30 20:10:10.735,7848.4805
2019-08-30 20:10:10.740,7848.4805
2019-08-30 20:10:22.257,7850.377
2019-08-30 20:10:33.789,7847.532
2019-08-30 20:10:45.315,7847.532
2019-08-30 20:10:56.841,7848.4805
2019-08-30 20:11:19.889,7849.4287
2019-08-30 20:11:31.410,7848.4805
2019-08-30 20:11:54.460,7848.4805
2019-08-30 20:12:17.504,7848.481
2019-08-30 20:12:29.031,7848.481
2019-08-30 20:12:29.034,7848.481
2019-08-30 20:12:52.081,7847.533
2019-08-30 20:12:52.084,7847.533
2019-08-30 20:13:15.124,7847.533
2019-08-30 20:13:15.129,7847.533
2019-08-30 20:13:26.655,7847.533
2019-08-30 20:13:38.187,7848.4814
2019-08-30 20:13:49.719,7846.585
2019-08-30 20:14:01.236,7847.5337
2019-08-30 20:14:12.762,7847.5337
2019-08-30 20:14:24.280,7845.6377
2019-08-30 20:14:35.812,7850.3784
2019-08-30 20:14:47.337,7847.5337
2019-08-30 20:14:58.860,7846.5854
2019-08-30 20:15:33.455,7847.5337
2019-08-30 20:15:44.978,7845.638
2019-08-30 20:15:44.981,7845.638
2019-08-30 20:16:08.022,7845.638
2019-08-30 20:16:08.025,7845.638
2019-08-30 20:16:54.147,7846.5864
2019-08-30 20:17:05.669,7844.69
2019-08-30 20:17:28.728,7846.5864
2019-08-30 20:17:40.260,7845.639
2019-08-30 20:17:51.789,7846.587
2019-08-30 20:18:03.318,7845.639
2019-08-30 20:18:03.321,7845.639
2019-08-30 20:18:14.859,7846.5874
2019-08-30 20:18:26.392,7846.5874
2019-08-30 20:18:37.917,7846.5874
2019-08-30 20:18:37.920,7846.5874
2019-08-30 20:18:49.449,7845.6396
2019-08-30 20:19:12.502,7846.5874
2019-08-30 20:19:24.028,7847.5356
2019-08-30 20:19:35.557,7847.5356
2019-08-30 20:19:58.617,7844.6914
2019-08-30 20:20:10.143,7844.6914
2019-08-30 20:20:33.184,7844.6914
2019-08-30 20:20:44.711,7843.743
2019-08-30 20:20:56.239,7846.588
2019-08-30 20:21:30.850,7844.692
2019-08-30 20:21:42.390,7844.692
